,,LL,NW,LL,NW,LL,NW,LL,NW,,,,,,,,,,,,,,,,,,,,
j,k,mean_ISE_MC,,median_ISE_MC,,sd_ISE_MC,,IQR_ISE_MC,,,,,,,,,,,,,,,,,,,,,
1,7,0.000030,0.000106,0.000030,0.000106,0.000002,0.000006,0.000002,0.000008,,,,,,,,,,,,,,,,,,,,
1,10,0.000020,0.000061,0.000020,0.000061,0.000001,0.000003,0.000002,0.000005,,,,,,,,,,,,,,,,,,,,
1,14,0.000014,0.000031,0.000014,0.000031,0.000001,0.000002,0.000001,0.000003,,,,,,,,,,,,,,,,,,,,
1,20,0.000011,0.000018,0.000011,0.000018,0.000001,0.000001,0.000001,0.000002,,,,,,,,,,,,,,,,,,,,
2,7,0.000040,0.000231,0.000040,0.000229,0.000002,0.000015,0.000002,0.000024,,,,,,,,,,,,,,,,,,,,
2,10,0.000035,0.000183,0.000035,0.000183,0.000001,0.000010,0.000001,0.000015,,,,,,,,,,,,,,,,,,,,
2,14,0.000024,0.000124,0.000024,0.000124,0.000001,0.000006,0.000001,0.000009,,,,,,,,,,,,,,,,,,,,
2,20,0.000014,0.000065,0.000014,0.000064,0.000001,0.000004,0.000001,0.000005,,,,,,,,,,,,,,,,,,,,
3,7,0.000215,0.000746,0.000215,0.000743,0.000008,0.000042,0.000011,0.000055,,,,,,,,,,,,,,,,,,,,
3,10,0.000133,0.000523,0.000133,0.000519,0.000005,0.000028,0.000006,0.000035,,,,,,,,,,,,,,,,,,,,
3,14,0.000090,0.000324,0.000090,0.000321,0.000003,0.000016,0.000004,0.000024,,,,,,,,,,,,,,,,,,,,
3,20,0.000058,0.000191,0.000058,0.000192,0.000002,0.000012,0.000002,0.000016,,,,,,,,,,,,,,,,,,,,
4,7,0.000598,0.001452,0.000592,0.001461,0.000052,0.000122,0.000076,0.000162,,,,,,,,,,,,,,,,,,,,
4,10,0.000351,0.000899,0.000349,0.000905,0.000030,0.000093,0.000041,0.000124,,,,,,,,,,,,,,,,,,,,
4,14,0.000239,0.000520,0.000238,0.000516,0.000019,0.000052,0.000026,0.000064,,,,,,,,,,,,,,,,,,,,
4,20,0.000149,0.000287,0.000147,0.000288,0.000014,0.000031,0.000020,0.000042,,,,,,,,,,,,,,,,,,,,
5,7,0.000862,0.003172,0.000861,0.003164,0.000040,0.000212,0.000050,0.000288,,,,,,,,,,,,,,,,,,,,
5,10,0.000590,0.001977,0.000589,0.001974,0.000026,0.000116,0.000035,0.000132,,,,,,,,,,,,,,,,,,,,
5,14,0.000393,0.001091,0.000396,0.001075,0.000017,0.000073,0.000022,0.000102,,,,,,,,,,,,,,,,,,,,
5,20,0.000258,0.000621,0.000258,0.000618,0.000011,0.000039,0.000014,0.000048,,,,,,,,,,,,,,,,,,,,
6,7,0.000391,0.001927,0.000388,0.001927,0.000017,0.000136,0.000022,0.000166,,,,,,,,,,,,,,,,,,,,
6,10,0.000237,0.001203,0.000238,0.001199,0.000011,0.000080,0.000012,0.000113,,,,,,,,,,,,,,,,,,,,
6,14,0.000146,0.000666,0.000146,0.000668,0.000007,0.000042,0.000008,0.000054,,,,,,,,,,,,,,,,,,,,
6,20,0.000093,0.000387,0.000093,0.000384,0.000004,0.000023,0.000006,0.000035,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
