"k","j","method","mean_ISE","sd_ISE","median_ISE","IQR_ISE"
7,1,"LL",2.80034911678497e-05,1.09294598051425e-06,2.79515866830355e-05,1.60501361030879e-06
7,1,"NW",0.000130068759337865,6.59996941227008e-06,0.000129642974670413,9.45092975519567e-06
10,1,"LL",2.62283984167697e-05,7.98127400827374e-07,2.62658709876079e-05,1.09917687128913e-06
10,1,"NW",8.45658874296783e-05,3.50133888750748e-06,8.44854367678023e-05,4.3381573156023e-06
14,1,"LL",2.83920136210257e-05,6.56776121773852e-07,2.84142509902165e-05,9.23537295094678e-07
14,1,"NW",6.82491373270264e-05,2.44235752900769e-06,6.83765748517471e-05,3.55354316009882e-06
20,1,"LL",3.4756315301327e-05,8.40174013264173e-07,3.4676706135329e-05,1.18053006413902e-06
20,1,"NW",7.00122467123806e-05,1.63681289064304e-06,7.00981494629752e-05,1.99247362499212e-06
7,2,"LL",0.000135063211342559,1.70171044979868e-06,0.00013511868264126,2.09447910986903e-06
7,2,"NW",0.000280791196847203,1.39429599533597e-05,0.000280765931590652,1.97847022934292e-05
10,2,"LL",0.000226257304422962,2.00568042229162e-06,0.000226188583464902,2.65653550507415e-06
10,2,"NW",0.00030947300200446,8.93078477833333e-06,0.000307738790445915,1.31108664372819e-05
14,2,"LL",0.000261352619817186,2.2414978171751e-06,0.000261538792632386,2.9333384035266e-06
14,2,"NW",0.000323437776198918,6.52833133701569e-06,0.000322953118086456,8.03196693150023e-06
20,2,"LL",0.000232535391097061,2.02814532031814e-06,0.000232738660505589,2.88088831617995e-06
20,2,"NW",0.000285835043023733,4.42568045308294e-06,0.000285820886765251,5.83193440409271e-06
7,3,"LL",0.000578632353645063,9.13315752246676e-06,0.000578741621575706,1.18530790122948e-05
7,3,"NW",0.00119863395318711,5.18452080636582e-05,0.00119306099149821,7.44020040464488e-05
10,3,"LL",0.000555791036318973,8.28140953451717e-06,0.000556138752654209,1.00541742746713e-05
10,3,"NW",0.000948184802338612,3.11431071666696e-05,0.000945214849568471,4.15382949818804e-05
14,3,"LL",0.000590268463644868,7.85280882982837e-06,0.000590096770482093,1.08469898325852e-05
14,3,"NW",0.000892936957015987,1.84966057239863e-05,0.000892373574470502,2.31117711573526e-05
20,3,"LL",0.000615866635984016,7.78746022203461e-06,0.000616193298575523,1.08727717711163e-05
20,3,"NW",0.000894117170656631,1.33584738058704e-05,0.000894808760759531,1.69872659825186e-05
