"k","j","method","ISE"
7,1,"LL",2.80378718958746e-05
7,1,"LL",2.78942777751751e-05
7,1,"LL",2.80457973162531e-05
7,1,"LL",2.8570958643954e-05
7,1,"LL",2.67416199459278e-05
7,1,"LL",2.62696806095858e-05
7,1,"LL",2.80717545599512e-05
7,1,"LL",2.93749483203833e-05
7,1,"LL",2.83868065342111e-05
7,1,"LL",2.67662033953253e-05
7,1,"LL",2.75544166567722e-05
7,1,"LL",2.72256517400302e-05
7,1,"LL",2.85682717203472e-05
7,1,"LL",2.811571293286e-05
7,1,"LL",2.72616530466758e-05
7,1,"LL",2.69761371995586e-05
7,1,"LL",2.60174260055153e-05
7,1,"LL",2.90933108237428e-05
7,1,"LL",2.76734640595544e-05
7,1,"LL",2.92499923834041e-05
7,1,"LL",2.93155877519513e-05
7,1,"LL",2.74823735877409e-05
7,1,"LL",2.81818313549476e-05
7,1,"LL",2.68907533888528e-05
7,1,"LL",2.89047497749688e-05
7,1,"LL",2.73220488780516e-05
7,1,"LL",2.9248437801221e-05
7,1,"LL",2.91418011308114e-05
7,1,"LL",2.88233496414594e-05
7,1,"LL",2.89986768890683e-05
7,1,"LL",2.71163220112498e-05
7,1,"LL",2.63733531100265e-05
7,1,"LL",2.85961899000537e-05
7,1,"LL",2.76326705078209e-05
7,1,"LL",2.88554982523583e-05
7,1,"LL",2.9235413235354e-05
7,1,"LL",2.72860319416736e-05
7,1,"LL",2.86107156463393e-05
7,1,"LL",2.66446506530842e-05
7,1,"LL",2.84640069230275e-05
7,1,"LL",2.9926688685273e-05
7,1,"LL",2.93867701134433e-05
7,1,"LL",2.7560658235063e-05
7,1,"LL",2.78691710607446e-05
7,1,"LL",2.7676412675645e-05
7,1,"LL",2.59027980582122e-05
7,1,"LL",2.68565223603857e-05
7,1,"LL",2.80195392454745e-05
7,1,"LL",2.92953887744744e-05
7,1,"LL",2.82645233522762e-05
7,1,"LL",2.73809777409994e-05
7,1,"LL",2.73059124830768e-05
7,1,"LL",2.91333779989998e-05
7,1,"LL",2.96100496790397e-05
7,1,"LL",2.88752677029789e-05
7,1,"LL",2.74045525031051e-05
7,1,"LL",2.61269717854384e-05
7,1,"LL",2.70973354346768e-05
7,1,"LL",2.71143275130367e-05
7,1,"LL",2.90522970227717e-05
7,1,"LL",2.77552634461543e-05
7,1,"LL",2.99534996935912e-05
7,1,"LL",2.89517132293979e-05
7,1,"LL",2.66760152746177e-05
7,1,"LL",2.74599302969404e-05
7,1,"LL",2.81319275107474e-05
7,1,"LL",2.71893091685682e-05
7,1,"LL",2.90313907854618e-05
7,1,"LL",2.69987682525886e-05
7,1,"LL",2.94792961278735e-05
7,1,"LL",2.68657833257549e-05
7,1,"LL",2.72569227713452e-05
7,1,"LL",2.69659257324443e-05
7,1,"LL",3.02129989126644e-05
7,1,"LL",2.8564960704643e-05
7,1,"LL",2.79010220308737e-05
7,1,"LL",2.87633968449406e-05
7,1,"LL",2.78973523728146e-05
7,1,"LL",2.85290931047736e-05
7,1,"LL",2.94141307694021e-05
7,1,"LL",2.88752736118871e-05
7,1,"LL",2.69989250919069e-05
7,1,"LL",2.74770950191755e-05
7,1,"LL",2.52882400226936e-05
7,1,"LL",2.7250939704783e-05
7,1,"LL",2.98672591844386e-05
7,1,"LL",2.99754555897145e-05
7,1,"LL",2.79559361731944e-05
7,1,"LL",2.69441909697511e-05
7,1,"LL",2.79693939169275e-05
7,1,"LL",2.90178802320585e-05
7,1,"LL",2.73934034971358e-05
7,1,"LL",2.76509514180547e-05
7,1,"LL",2.99959165412579e-05
7,1,"LL",2.88844257440938e-05
7,1,"LL",2.90434156567784e-05
7,1,"LL",2.67607316128084e-05
7,1,"LL",2.78847002528969e-05
7,1,"LL",2.83701129670178e-05
7,1,"LL",2.76461307174469e-05
7,1,"LL",2.7814493193532e-05
7,1,"LL",2.65469851575373e-05
